Generalized Linear Model,0.931973367,0.014798593,,672,28.14258912,255.8685446
Deep Learning,0.945027608,0.022547034,,1981,622.8893058,39.90610329
Decision Tree,0.959954874,0.007711504,,537,6.566604128,30.51643192
Random Forest,0.929672073,0.009750969,,2153,32.83302064,49.29577465
Gradient Boosted Trees,0.939241579,0.007539176,,34112,838.6491557,321.5962441
Support Vector Machine,0.968814238,0.007279091,,15101,104.1275797,63.38028169
